#RA	DEC	SNtype	Galtype2
182.29713	 29.27631	Ia       	S        
120.77525	  3.41433	II       	S        
161.03633	 -0.81792	Ib/c     	S        
133.63429	 36.51142	Ia       	S        
155.65513	 27.35550	IIn      	S        
351.99542	  8.78392	Ia       	S        
118.28500	 50.12647	II       	S        
253.24221	  2.39736	IIn      	S        
256.72779	 43.11158	II       	S        
174.97879	 -4.37122	Ia       	S0       
114.23796	 35.24417	Ic       	S        
240.38396	  1.70639	II       	S        
121.28938	 66.78756	Ia       	S        
239.93967	 18.80361	II       	S        
183.24763	  7.30017	Ia       	S        
239.35246	 41.90056	II       	S        
241.36508	 17.83022	Ia       	S        
245.33892	 40.80269	II       	S        
209.65988	 37.43692	Ic       	S        
255.26517	 33.47917	IIn      	S        
183.92588	 61.89000	Ia       	S        
356.85458	 28.38772	Ia       	S        
  0.77717	 -1.91161	II       	S        
186.30071	 54.50797	Ib       	S        
243.55092	  6.15017	Ia       	S0       
  1.55754	  8.88819	Ia       	S        
 16.84800	 32.40644	Ia       	E        
 25.52404	  7.66617	Ia       	E        
346.27442	 -3.20028	Ia       	S        
 32.08742	  1.18356	II       	S        
137.90117	 60.02869	Ib       	S0       
113.83242	 19.04542	II       	S        
134.18083	 52.10367	Ib       	S        
 34.61200	  5.65056	Ia       	S        
320.06525	 -4.87792	Ia       	S0       
337.11092	 17.14756	II       	S        
125.31338	  1.15703	Ia       	S        
101.96667	 84.16728	IIn      	S        
175.24417	 11.46550	Ic       	S        
349.85500	  5.90586	Ia       	S        
179.44063	 32.29697	II       	S        
 48.21963	  4.70956	Ic       	S        
  7.30038	 33.10819	Ia       	S        
138.72979	 46.90056	II       	S        
121.74079	  8.00536	Ib       	S        
344.60558	 26.64072	Ia       	S        
145.17308	 11.88569	II       	S        
202.81767	 29.37564	II       	S        
176.95867	 56.01703	Ia       	S0       
153.75758	 65.13431	II       	S        
182.81492	 17.89228	Ia       	S        
184.84588	  5.82792	Ia       	E        
262.49046	 60.35644	II       	S        
244.89513	 57.61819	II       	S        
200.60900	 -2.42361	II       	S        
143.62921	 46.46075	II       	S        
205.41404	 55.66828	Ic       	S        
242.62596	 19.95033	II       	S        
241.80704	 -0.08033	II       	S0       
