RA	DEC	SNtype	Galtype	mag_g	bar
 55.38621  	 37.22506  	   II      	 Sc        	15.98      	           
 17.49379  	 32.37992  	   II      	 Sb        	13.73      	           
224.96579  	 54.61836  	   II      	 Sbc       	16.25      	           
292.87963  	 35.87103  	   II      	 Sc        	12.88      	           
 39.24600  	 -5.35547  	   II      	 Scd       	13.60      	           
110.89425  	 41.42731  	   II      	 Sc        	14.17      	B          
  9.54246  	  2.72144  	   IIb     	 Sa        	13.01      	           
327.28254  	  0.44422  	   Ia      	 Sc        	14.50      	B          
163.06296  	 32.95558  	   II      	 Sc        	11.92      	           
 49.47417  	 -7.29528  	   IIn     	 Sc        	13.11      	B          
 27.76604  	 -9.70192  	:  II      	 Scd       	12.43      	           
 40.81354  	 32.42378  	   Ia      	 E/S0      	12.10      	           
  7.54696  	  2.08986  	   Ic      	 Sbc       	12.83      	           
356.85188  	 28.38956  	   Ia      	 Sbc       	14.85      	           
352.11333  	 -8.61533  	   Ia      	NA         	NA         	NA         
352.43896  	 -8.91008  	   Ia      	NA         	NA         	NA         
 17.46279  	  0.45583  	   Ia      	NA         	NA         	NA         
 18.39933  	 -0.15767  	   Ia      	NA         	NA         	NA         
351.74133  	 -9.62197  	   Ia      	NA         	NA         	NA         
351.74225  	 -9.62206  	   Ia      	NA         	NA         	NA         
352.58383  	 -9.97519  	   Ia      	NA         	NA         	NA         
 18.37071  	  0.58786  	   Ia      	NA         	NA         	NA         
 37.47088  	 -9.02128  	   II      	NA         	NA         	NA         
351.94017  	 -8.52022  	   Ia      	NA         	NA         	NA         
 37.18238  	 -8.90667  	   Ia      	NA         	NA         	NA         
 37.83313  	 -8.82269  	   Ia      	NA         	NA         	NA         
 38.38596  	 -8.15947  	   Ia      	NA         	NA         	NA         
133.06063  	 52.89178  	   Ia      	 Sb        	14.68      	B          
 30.27671  	 31.87894  	   Ia      	 Sbc       	12.73      	           
218.33917  	  4.44708  	   II      	 Sd        	11.81      	           
146.70458  	 16.04569  	   II pec  	 Scd       	13.36      	B          
172.74846  	 20.46856  	   IIb     	 Sd pec    	14.25      	B          
186.38838  	 12.26108  	   Ic      	 Scd       	14.44      	           
132.52038  	 49.24550  	   Ia      	 Sbc       	15.79      	           
188.55042  	  2.65956  	   Ic      	 Sbc       	11.08      	           
171.56258  	 27.86853  	   II      	 Scd       	14.20      	           
129.59658  	 17.62772  	   Ia      	 S0        	14.65      	           
191.60300  	 11.94892  	   Ia      	 Sc        	17.98      	           
 33.40592  	 -0.71828  	   Ib/c    	 Sc        	13.37      	           
353.37833  	 24.01861  	   II      	 Sc        	14.94      	B          
195.99392  	 26.23436  	   II      	 S         	18.67      	           
243.44046  	 61.02386  	:  Ia      	 Sc        	15.32      	           
173.49904  	 49.06292  	   Ia      	 S0        	13.73      	           
 31.11250  	 -4.87944  	   Ia      	NA         	NA         	NA         
 32.04042  	 -4.69772  	   Ia      	NA         	NA         	NA         
351.13613  	 -8.68431  	   Ia      	NA         	NA         	NA         
 32.20088  	 -4.43622  	   Ia      	NA         	NA         	NA         
 37.45329  	 -8.34608  	   Ia      	NA         	NA         	NA         
 38.00058  	 -8.70661  	   Ia      	NA         	NA         	NA         
 38.72996  	 -8.51211  	   Ia      	NA         	NA         	NA         
 31.60421  	 -4.63444  	   Ia      	 S         	19.19      	           
 32.16175  	 -5.13658  	   Ia      	NA         	NA         	NA         
 37.42471  	 -8.73039  	   Ia      	NA         	NA         	NA         
351.76825  	 -8.64586  	   Ia      	NA         	NA         	NA         
 18.40904  	 -0.46083  	   Ia      	NA         	NA         	NA         
 37.01296  	 -7.70825  	   Ia      	NA         	NA         	NA         
 18.38492  	  0.62092  	   Ia      	NA         	NA         	NA         
 31.56679  	 -3.87436  	   II      	NA         	NA         	NA         
 32.39800  	 -3.77319  	   Ia      	NA         	NA         	NA         
 37.57517  	 -8.37361  	   Ia      	NA         	NA         	NA         
 17.20138  	  0.01375  	   Ia      	NA         	NA         	NA         
 32.39038  	 -4.21778  	   Ia      	NA         	NA         	NA         
 16.20279  	 -0.89597  	   II      	 Sbc       	17.07      	B          
 18.76008  	  0.26192  	   Ia      	 Sa        	16.79      	           
357.10813  	  1.06397  	   II      	NA         	NA         	NA         
357.82229  	  1.22761  	   Ia      	           	NA         	           
 40.30250  	 -0.87944  	   II      	 S         	17.28      	           
316.51771  	  1.21583  	   II      	 Sm        	17.89      	           
 31.26250  	  0.83664  	   Ia      	           	NA         	           
 40.88013  	  0.30853  	   II      	 Sb        	14.14      	B          
 34.50958  	 -0.55900  	   Ia      	           	NA         	           
 40.23500  	 -0.18008  	   Ic      	 S         	18.74      	           
310.20021  	  1.04283  	   II      	 Sb        	17.27      	           
  1.62350  	 -0.47286  	   Ia      	NA         	NA         	NA         
330.44408  	  1.23667  	   Ia      	 S         	17.97      	           
339.78558  	 -0.86517  	   Ia      	NA         	NA         	NA         
  1.46579  	 -0.99586  	   Ia      	           	NA         	           
 33.97629  	  1.06942  	   Ia      	NA         	NA         	NA         
  4.21583  	 -0.41581  	   Ia      	NA         	NA         	NA         
 20.29808  	 -0.91922  	   Ia      	NA         	NA         	NA         
 26.23129  	 -0.09947  	   Ia      	NA         	NA         	NA         
 46.76121  	 -0.01114  	   Ia      	           	NA         	           
355.78242  	 -0.13208  	   Ia      	NA         	NA         	NA         
 22.60858  	  0.69231  	   Ia      	 S         	18.61      	           
320.90579  	 -0.46683  	   Ia      	NA         	NA         	NA         
215.91604  	-19.44722  	   Ia      	 Sb        	15.14      	B          
156.76713  	 16.01869  	   Ia      	 Sbc       	14.94      	B          
203.74067  	 34.04269  	   Ia      	 Scd       	13.47      	           
164.04279  	 47.39542  	   II      	 Sb        	14.85      	           
166.82846  	 28.53989  	   II      	NA         	NA         	NA         
222.73042  	 17.22017  	   II      	 Sc        	17.20      	           
190.90217  	 11.53078  	   Ia      	 E         	 9.52      	           
175.86775  	 21.67508  	   Ia      	 Sa        	16.61      	           
203.07242  	 60.39539  	   II      	 Sb        	15.49      	           
 37.68021  	 -2.93883  	   Ia      	 Sbc       	12.80      	           
137.01754  	 27.24983  	   II      	 Sc        	14.81      	           
190.27158  	 50.38228  	   II      	 Sbc       	13.66      	           
204.98258  	  0.87083  	   Ia      	           	NA         	           
 37.12271  	 -1.13889  	   II      	 Sd        	12.83      	B          
224.18188  	  9.32847  	   Ia      	 Sab       	16.51      	           
 44.70354  	 75.75383  	   Ic      	 Sd        	15.68      	           
220.13358  	  3.51031  	   Ia      	 S0/a      	15.84      	           
266.20683  	 61.90781  	   Ia      	 Sb        	14.55      	           
195.31183  	 27.72539  	   II      	NA         	NA         	NA         
 67.91175  	 -4.58522  	   IIn     	 Sbc       	14.07      	           
199.05158  	 30.94508  	   II      	 Sc        	13.51      	           
178.20029  	 44.10511  	   II P    	 Sc        	10.76      	           
196.44571  	 27.73567  	   Ic      	 Scd       	13.46      	B          
174.42742  	 22.01081  	   II      	 Sb        	14.67      	B          
194.29946  	 -1.70483  	   II      	 Sc        	13.69      	           
219.31271  	 38.45642  	   Ia      	 Sb        	13.35      	B          
224.88633  	 16.66989  	   Ia      	 Sa        	15.73      	           
155.98863  	 -3.19128  	   Ib      	 Sbc       	13.25      	B          
184.32158  	 16.37156  	   Ia      	 Sab       	14.87      	           
172.43333  	 22.12753  	   Ic      	 Sc        	14.35      	B          
246.83863  	 39.11200  	   II      	 Sb        	14.39      	           
252.43642  	 17.86353  	   Ic      	 Sd        	14.79      	B          
240.57100  	 42.91536  	   Ic      	 Sab       	14.33      	           
181.05108  	 20.40689  	   Ia      	 S0/a      	13.36      	           
230.18792  	 36.81181  	   Ia      	 S0/a      	16.94      	           
180.84963  	 35.32583  	   II      	 S         	17.15      	           
257.43008  	 36.41892  	   II      	 Scd       	15.04      	           
196.80446  	 58.13567  	   II      	 Sb        	14.63      	B          
216.03100  	 26.29731  	   Ia      	 Sbc       	17.27      	           
203.37388  	 33.04106  	   II      	 Sb        	14.02      	B          
206.44546  	 22.09633  	   IIb     	 Sbc       	14.79      	           
168.87258  	 60.75153  	   Ib      	 Sb        	16.43      	B          
203.16079  	 11.80922  	   Ia      	 S         	18.74      	B          
209.27021  	 41.84494  	   Ia pec  	 Sb        	11.64      	B          
162.74000  	 -2.14672  	           	 Sc        	13.24      	B          
339.13733  	 25.75972  	   Ib/c    	 Sbc       	13.31      	B          
317.71008  	  0.20206  	   Ia      	           	NA         	           
215.52821  	  1.99325  	   Ia      	NA         	NA         	NA         
218.68700  	 48.67217  	   II      	 Scd       	14.48      	B          
195.57800  	 28.34597  	:  Ia      	NA         	NA         	NA         
315.50979  	 -6.29325  	   IIn     	 Sb        	13.42      	B          
352.72325  	 -2.93844  	           	 Sa        	13.58      	B          
359.87867  	 18.20267  	   IIn     	 Sbc       	14.73      	B          
185.57171  	 12.39703  	   Ia      	 Sb        	16.13      	           
202.47021  	 47.17675  	   II P    	 Sbc       	NA         	           
 28.42733  	 29.93453  	   II      	 Sb        	14.19      	           
 10.36163  	 25.49767  	:  IIn     	 Sc        	12.62      	           
 38.65238  	  1.34811  	   II      	 Sc        	15.23      	           
238.51383  	 23.13608  	   Ia      	 S0        	14.27      	           
 34.66354  	 -6.90300  	   Ia pec  	 E         	13.66      	           
 45.50175  	 41.57617  	   Ia      	 S0/a pec  	NA         	NA         
216.90258  	 41.25417  	   II      	 Sd        	13.38      	B          
341.19354  	 33.46044  	   II      	 Sc        	12.78      	B          
350.90967  	-19.00681  	   II      	NA         	NA         	NA         
  2.39458  	 12.75594  	   II      	 Im        	18.05      	           
354.65950  	  5.43808  	   II      	 Sc        	14.31      	           
 39.80975  	  1.09861  	   Ib/c    	 S0/a      	12.25      	           
166.69954  	 57.68542  	           	 Sc        	14.49      	B          
 13.71225  	 29.24633  	   II      	 Sa        	14.78      	           
  0.70571  	  0.75119  	   Ia      	 S         	NA         	           
359.48263  	 32.63581  	   II      	 Im        	16.87      	           
 14.59529  	  0.67900  	   Ia      	 S         	18.13      	           
 15.53542  	 -0.87900  	   Ia      	           	NA         	           
327.43500  	  0.65761  	   Ia      	           	NA         	           
329.19850  	  0.31750  	   Ia      	 S         	20.39      	           
 46.45400  	 36.76961  	   Ic      	 Sbc       	13.12      	           
 48.44879  	 -0.24361  	   IIb     	 Sb        	14.15      	           
119.80254  	 32.91681  	   II      	 Sbc       	13.83      	           
119.80808  	 32.92214  	   Ic      	 Sbc       	13.83      	           
 47.20546  	 -7.03325  	   Ia      	 Scd       	14.74      	           
342.50350  	 11.61825  	   Ia pec  	 E         	12.14      	           
351.44842  	  8.03814  	   II      	 Sbc       	14.86      	           
 25.46350  	 -0.87639  	   Ia      	 S         	18.11      	           
 34.27292  	  0.28031  	   Ia      	NA         	NA         	NA         
 46.79571  	  1.11956  	   Ia      	           	NA         	           
136.22367  	 13.56564  	   Ia      	 S0/a      	14.23      	           
 24.90033  	 -0.75875  	   Ia      	 S         	18.74      	           
 45.32308  	 -0.64408  	   Ia      	 S         	18.67      	           
320.41354  	  0.89464  	   Ia      	NA         	NA         	NA         
323.79900  	  0.16311  	   Ia      	NA         	NA         	NA         
334.86383  	  0.49442  	   Ia      	NA         	NA         	NA         
337.67254  	 -0.77661  	   Ia      	 S         	19.10      	           
339.01750  	 -0.37522  	   Ia      	 S         	19.10      	           
349.37379  	  0.42939  	   Ia      	 S         	18.67      	           
  1.99454  	  0.63817  	   Ia      	NA         	NA         	NA         
317.83688  	 -0.44536  	   Ia      	NA         	NA         	NA         
318.83263  	 -0.38294  	   Ib/c    	NA         	NA         	NA         
311.84163  	 -1.25331  	   Ia      	NA         	NA         	NA         
312.04321  	 -1.17142  	   Ia      	NA         	NA         	NA         
312.22104  	  0.19111  	   Ia      	NA         	NA         	NA         
328.94333  	  0.59353  	   Ia      	NA         	NA         	NA         
  6.80704  	  1.12061  	   Ia      	NA         	NA         	NA         
 13.43354  	 -0.56022  	   II      	NA         	NA         	NA         
 17.09175  	 -0.09631  	   Ia      	NA         	NA         	NA         
 31.22071  	 -0.32647  	   Ia      	NA         	NA         	NA         
 40.52075  	 -0.54083  	   Ia      	NA         	NA         	NA         
 42.63371  	  0.80781  	   Ia      	NA         	NA         	NA         
 46.34346  	  0.85836  	   Ia      	 S         	18.58      	           
 52.70433  	 -1.23811  	   Ia      	NA         	NA         	NA         
344.20142  	  0.40108  	   Ia      	NA         	NA         	NA         
 50.09042  	 -0.88558  	   Ia      	NA         	NA         	NA         
330.92171  	  0.56953  	   Ia      	NA         	NA         	NA         
206.13663  	  4.77897  	   Ia      	 Sc        	14.09      	           
 16.93233  	 -1.03950  	   Ia      	 S         	19.25      	           
 19.05242  	  0.79194  	   Ia      	 Sb        	17.52      	B          
 20.40675  	 -0.97722  	   Ia      	NA         	NA         	NA         
 29.96263  	  0.64061  	   Ia      	NA         	NA         	NA         
 34.56133  	  0.79656  	   Ia      	NA         	NA         	NA         
334.06929  	  0.70811  	   Ia      	NA         	NA         	NA         
334.67150  	  0.63919  	   Ia      	NA         	NA         	NA         
312.65146  	 -0.35411  	   Ia      	 S         	19.05      	           
 13.96950  	  0.50494  	   II      	 S         	18.96      	           
 45.29979  	 -0.55386  	   Ia pec  	NA         	NA         	NA         
 12.45842  	 32.28244  	   IIn     	 Sb        	12.23      	B          
 55.66375  	 -6.38444  	   II      	 Sb        	14.16      	B          
 17.70496  	  1.00789  	   Ia      	NA         	NA         	NA         
 55.49704  	 -0.78267  	   Ia      	           	NA         	           
 53.45404  	  0.70933  	   Ia      	NA         	NA         	NA         
 54.15621  	  1.07917  	   Ia      	NA         	NA         	NA         
333.29271  	  1.05056  	   Ia      	NA         	NA         	NA         
 31.01600  	 -0.36583  	   Ia      	NA         	NA         	NA         
 12.23771  	 -0.90572  	   Ia      	NA         	NA         	NA         
 38.47554  	  0.28072  	   Ia      	NA         	NA         	NA         
354.49833  	  0.64211  	   Ia      	NA         	NA         	NA         
359.88442  	  0.73717  	   Ia      	NA         	NA         	NA         
 21.52833  	  0.67689  	   Ia      	NA         	NA         	NA         
316.33621  	 -7.84653  	   II      	 Sc        	14.30      	           
 32.41050  	-10.14544  	   II      	 S0/a pec  	13.28      	           
 29.19975  	 -0.21367  	   Ia      	 Sab       	15.85      	           
339.93933  	 34.37861  	   II      	 Sc        	13.61      	B          
 21.77488  	 19.11681  	   Ia      	 Sa        	16.12      	           
 21.70113  	 -1.23800  	   Ia      	           	NA         	           
  6.96196  	 -1.19792  	   Ia pec  	 Scd       	14.73      	           
313.83246  	  0.54297  	   Ib      	 Sbc       	15.01      	           
324.75271  	 -1.02742  	   Ib      	NA         	NA         	NA         
329.26771  	 -0.22347  	   Ia      	NA         	NA         	NA         
 14.85042  	  0.00261  	   Ia      	 S         	17.61      	B          
307.21917  	 -0.77925  	   Ia      	NA         	NA         	NA         
312.58242  	 -0.82528  	   Ia      	NA         	NA         	NA         
 49.64096  	  0.12336  	   Ia      	NA         	NA         	NA         
 52.34192  	 -1.09469  	   Ia      	NA         	NA         	NA         
312.60254  	 -0.16789  	   Ia      	NA         	NA         	NA         
328.66996  	  0.41344  	   Ia      	NA         	NA         	NA         
333.18275  	 -0.03492  	   Ia      	NA         	NA         	NA         
  2.36863  	  1.15492  	   Ia      	NA         	NA         	NA         
  3.25054  	  0.24822  	   Ia      	NA         	NA         	NA         
  3.59829  	  0.33306  	   Ia      	NA         	NA         	NA         
 11.63417  	  0.83825  	   Ia      	NA         	NA         	NA         
212.51192  	 17.72289  	   II      	 Sbc       	11.90      	B          
 17.89596  	 -0.00589  	   Ia      	NA         	NA         	NA         
 22.85704  	 -0.60339  	   Ia      	NA         	NA         	NA         
327.78621  	 -0.84294  	   Ia      	NA         	NA         	NA         
349.13883  	 -0.66319  	   Ia      	NA         	NA         	NA         
 34.76058  	 -0.27283  	   Ia      	NA         	NA         	NA         
 52.55363  	 -0.97458  	   Ia      	 Sb        	17.80      	           
337.63117  	 -0.50267  	   Ia      	NA         	NA         	NA         
  1.80658  	  0.34897  	   Ia      	NA         	NA         	NA         
  3.26554  	 -0.62014  	   Ia      	NA         	NA         	NA         
 46.08858  	 -1.06294  	   Ia      	 S         	18.74      	           
322.81500  	 -1.05700  	   Ia      	NA         	NA         	NA         
 28.27821  	  1.11375  	   Ia      	NA         	NA         	NA         
  9.01196  	  0.83500  	   Ia      	NA         	NA         	NA         
 33.36742  	 -0.96825  	   Ia      	NA         	NA         	NA         
143.02675  	  8.44567  	   II      	 Sb        	12.84      	           
 19.18233  	  0.79456  	   Ia      	 S         	17.48      	           
  5.43738  	 -0.32503  	   Ia      	NA         	NA         	NA         
 16.19042  	  0.51392  	   Ia      	           	NA         	           
305.06500  	  0.21739  	   Ia      	 S         	17.51      	           
307.93613  	  0.24475  	   Ia      	NA         	NA         	NA         
337.32400  	 -0.09236  	   Ia      	NA         	NA         	NA         
310.48283  	  1.09200  	   Ia      	NA         	NA         	NA         
321.21646  	  0.38561  	   Ia      	NA         	NA         	NA         
328.06863  	  0.26708  	   Ia      	NA         	NA         	NA         
179.61892  	 10.01922  	   II      	 Sc        	14.11      	           
358.96933  	  0.87700  	   Ia      	NA         	NA         	NA         
339.01338  	 -0.36792  	   Ia      	NA         	NA         	NA         
 11.35171  	  1.07558  	   Ia      	NA         	NA         	NA         
 34.27583  	  0.53483  	   Ia      	NA         	NA         	NA         
 38.86092  	  1.07489  	   Ia      	 S         	17.47      	           
 53.41983  	 -0.11208  	   Ia      	NA         	NA         	NA         
345.26238  	 -0.20736  	   Ia      	NA         	NA         	NA         
350.01846  	 -0.05547  	   Ia      	NA         	NA         	NA         
  4.32642  	 -0.25725  	   Ia      	NA         	NA         	NA         
314.18608  	  0.40833  	   Ia      	NA         	NA         	NA         
 26.49763  	  1.19594  	   Ia      	NA         	NA         	NA         
323.23383  	 -0.69978  	   Ia      	NA         	NA         	NA         
328.07908  	  0.47192  	   Ia      	NA         	NA         	NA         
  4.75346  	 -0.28150  	   Ia      	NA         	NA         	NA         
 52.09033  	 -0.32608  	   Ia      	NA         	NA         	NA         
 32.45996  	 -0.06175  	   Ia      	NA         	NA         	NA         
307.44867  	  1.14269  	   IIn     	NA         	NA         	NA         
 15.05154  	  0.34081  	   IIn     	NA         	NA         	NA         
 23.67300  	 -0.60536  	   Ia      	 S0/a      	17.28      	           
 42.66733  	 -0.06597  	   Ia      	NA         	NA         	NA         
 39.11683  	  0.51128  	   Ia      	 S         	19.90      	           
 40.20883  	  0.99314  	   Ia      	NA         	NA         	NA         
310.08021  	 -0.00717  	   Ia      	NA         	NA         	NA         
323.58404  	 -0.68169  	   Ia      	NA         	NA         	NA         
348.46500  	  1.25700  	   Ia      	NA         	NA         	NA         
 22.86275  	 -0.63161  	   Ia      	NA         	NA         	NA         
144.01796  	 16.76300  	   II      	 Sb        	15.28      	           
333.48317  	  1.08650  	   Ia      	NA         	NA         	NA         
 12.71117  	  0.85361  	   II      	 Sc        	17.22      	           
338.53058  	  5.56842  	   Ia      	 Sb        	12.89      	           
116.86046  	 26.92567  	   Ic      	 S         	17.05      	           
150.35588  	 15.78039  	   II      	 Sb        	12.54      	B          
160.11758  	  9.20233  	   Ia      	 E/S0 pec  	12.46      	           
159.91675  	 25.32364  	   II      	 Sdm       	13.75      	B          
186.14867  	 39.38431  	   Ic      	 Sa        	12.00      	           
170.20300  	 32.29033  	   Ia      	 Sab       	14.87      	           
318.88521  	 -0.35533  	   Ia      	 S         	19.30      	           
357.52092  	 -0.92139  	   Ia      	NA         	NA         	NA         
  7.72150  	 -0.71883  	   Ia      	NA         	NA         	NA         
347.83713  	 -0.60864  	   Ia      	NA         	NA         	NA         
 47.12358  	  0.88894  	   Ib/c    	NA         	NA         	NA         
324.48567  	 -0.03247  	   Ib/c    	           	NA         	           
 17.74188  	  0.27614  	   Ia      	 Sa        	17.20      	           
344.92754  	 -0.01369  	   Ia      	 S         	16.81      	           
128.54646  	  6.27636  	   Ia      	 S         	19.63      	           
144.02521  	 24.40383  	   Ia      	 Sb        	17.43      	           
 36.15104  	 -4.18192  	   Ia      	 S         	19.30      	           
238.35800  	 39.38558  	   Ia pec  	 Sc        	15.12      	           
193.06533  	 27.53125  	   IIbn    	 Sd        	15.36      	           
343.70854  	 -0.25250  	   II      	 S         	19.72      	           
 45.54658  	 -1.16650  	   II      	 S         	18.70      	           
325.00200  	 -0.00792  	   Ia      	NA         	NA         	NA         
337.88454  	 -0.49356  	   Ia      	NA         	NA         	NA         
349.67538  	 -1.20486  	   Ia      	NA         	NA         	NA         
 19.08363  	 -0.80781  	   Ia      	NA         	NA         	NA         
328.95142  	  1.18081  	   Ia      	NA         	NA         	NA         
335.81438  	  0.25303  	   Ia      	NA         	NA         	NA         
 29.42929  	 -0.17944  	   Ia      	 S         	18.64      	           
329.95596  	 -1.19369  	   Ia      	 Sc        	18.39      	           
337.02863  	 -1.12817  	   Ia      	NA         	NA         	NA         
  3.77046  	  0.35514  	   II      	           	NA         	           
  6.75050  	 -0.58661  	   Ia      	NA         	NA         	NA         
  9.29942  	 -1.20342  	   Ia      	NA         	NA         	NA         
 26.92833  	  0.20722  	   Ia      	NA         	NA         	NA         
 40.40017  	  0.20503  	   Ia      	NA         	NA         	NA         
 43.56654  	 42.72494  	   Ia      	 Sbc       	14.44      	           
175.60921  	 20.11806  	   Ia      	 Sc        	14.30      	B          
 20.87017  	 30.77936  	   IIn     	 Sc        	14.61      	B          
144.38483  	 23.20075  	   Ia      	 Sdm       	14.58      	           
196.46858  	 41.71639  	   II      	 Sab       	13.07      	           
126.77650  	 21.64600  	   Ia      	 S0/a pec  	13.94      	B          
137.17638  	 44.81428  	   Ic      	 Scd       	14.74      	B          
  4.18421  	  7.07217  	   II      	 Sbc       	13.81      	           
 41.23617  	  0.20358  	   Ia      	NA         	NA         	NA         
335.26104  	 -0.74817  	   Ia      	NA         	NA         	NA         
322.95600  	 -1.06939  	   IIn     	NA         	NA         	NA         
340.66933  	  0.83303  	   II      	NA         	NA         	NA         
 33.51842  	 -0.23919  	   Ia      	NA         	NA         	NA         
  3.28979  	  1.14553  	   Ia      	NA         	NA         	NA         
 57.32683  	 -0.69206  	   Ib      	 Scd       	18.30      	           
 57.55375  	 -0.24022  	   Ia      	NA         	NA         	NA         
 16.19033  	  0.05564  	   Ia      	NA         	NA         	NA         
350.09079  	 -0.34989  	   Ia      	NA         	NA         	NA         
189.13438  	 62.25403  	   Ia      	NA         	NA         	NA         
132.30975  	 36.12997  	   Ia      	 Scd       	14.20      	           
325.03417  	 10.65389  	   II      	 S         	18.58      	           
 49.95783  	 41.50517  	   Ia      	 E         	NA         	NA         
183.40671  	 16.12117  	   Ic      	 Sd        	14.74      	B          
160.57633  	 -0.37811  	   Ib      	 Sbc       	13.48      	           
168.73671  	 33.82658  	   IIn     	 Scd       	14.53      	           
212.12017  	  7.05756  	   Ia      	 Sd        	14.07      	B          
216.57183  	 26.24661  	   II      	 Sbc       	14.82      	           
172.13842  	 58.56181  	   IIb     	 S         	NA         	           
 27.69063  	 21.75989  	   Ia      	 Sbc       	12.72      	           
186.00313  	  7.77747  	   Ia      	NA         	NA         	NA         
 24.40538  	  0.04161  	   II      	 Sbc       	15.53      	           
161.28825  	 22.07731  	   II      	 Sc        	13.89      	           
356.76575  	 29.48214  	           	 Sbc       	12.39      	B          
178.33288  	 20.75506  	   IIn     	 Sbc       	13.60      	B          
190.43692  	 35.06864  	   Ia      	 Sbc       	13.03      	B          
136.92963  	 12.05181  	   II      	 Sd        	17.02      	B          
222.09696  	 21.79764  	   Ia      	 S         	18.39      	           
158.48825  	 20.34047  	   Ia      	 S0/a      	16.56      	           
180.07133  	 28.60611  	   IIn     	 Im        	18.92      	           
 50.41546  	 16.86739  	   Ib/c    	NA         	NA         	NA         
167.38679  	 28.63064  	:  Ia      	 Sab       	15.91      	           
159.86775  	  5.18342  	   Ia      	           	NA         	           
216.90517  	 41.25983  	   IIn     	 Sd        	13.38      	B          
183.66117  	 12.22969  	   Ia      	NA         	NA         	NA         
177.08121  	 38.74667  	   II      	 Sb        	15.46      	B          
159.37813  	 65.01614  	   Ia      	 Sbc       	15.60      	           
198.17129  	 63.27928  	   II      	 Im        	18.77      	           
239.80317  	 20.74108  	   Ia      	NA         	NA         	NA         
183.06117  	 56.17939  	   Ia      	 Sa        	13.53      	           
350.29075  	 33.40033  	   Ia      	 Sbc       	14.62      	           
128.37954  	 41.51781  	   Ia      	 S0/a      	13.81      	           
174.61858  	 20.52622  	   Ia      	 E/S0      	13.95      	           
236.41250  	 28.08867  	   II      	 Sb        	14.36      	           
194.71117  	  9.65836  	   IIb     	 Sbc       	14.52      	           
173.85488  	 54.96039  	:          	 Sbc       	16.74      	           
209.79800  	 27.87153  	           	NA         	NA         	NA         
185.57983  	  7.62369  	   II      	 Sc        	17.09      	           
226.14004  	 35.96419  	   Ia      	 E/S0      	14.08      	           
234.96092  	 14.18925  	   II      	 Sc        	14.83      	           
169.58921  	 28.21208  	   Ia      	 Sb        	16.85      	           
307.67458  	  9.19467  	   IIn     	NA         	NA         	NA         
178.48225  	 52.35261  	   II P    	 Sc        	10.90      	B          
279.99533  	 39.98244  	   Ia      	 E/S0      	13.69      	           
202.50750  	 13.41578  	   Ia      	 Sbc       	13.91      	           
239.12721  	 20.04600  	   Ia      	 S0/a      	14.23      	           
208.19921  	  5.31372  	   Ia      	 S         	17.58      	           
218.48638  	  3.79883  	   Ia      	 S0        	17.11      	           
151.30900  	 21.47556  	   II      	 Sc        	14.07      	           
201.53800  	 35.93278  	   II      	 Sbc       	13.16      	B          
195.18075  	 27.96161  	   Ia      	 S0/a      	15.57      	B          
180.63542  	 41.04450  	   II      	 Sc        	13.49      	           
214.13250  	 39.58775  	   Ib      	 Sbc       	NA         	           
242.48529  	 43.12664  	   Ia      	 Sbc       	15.53      	           
241.34192  	 17.75153  	   II P    	 Scd       	15.51      	B          
163.51075  	 46.02675  	   Ia      	 Sc        	14.52      	B          
196.25967  	 28.74000  	   Ia      	 S0/a      	16.15      	           
356.77550  	 29.48072  	   Ia      	 Sbc       	12.39      	B          
194.85175  	 28.34769  	   Ia      	 Sb        	17.29      	           
197.41842  	 -1.04922  	   Ic      	 Sc        	14.81      	           
320.07275  	 -1.68408  	:  Ia      	 Sb        	15.08      	           
184.81204  	 22.42728  	   Ia      	 Sd        	14.34      	B          
201.10458  	 30.95631  	   Ia      	 Sa        	14.95      	           
196.80213  	 58.13503  	   II      	 Sb        	14.63      	B          
206.39121  	 35.61017  	   Ia      	 S0/a      	14.24      	           
182.48763  	 47.09553  	   Ia      	 S0        	15.94      	           
221.93046  	  9.65942  	   IIn     	 Sc        	14.78      	           
221.94929  	 23.29961  	   IIn     	NA         	NA         	NA         
225.75421  	 21.69461  	   II      	 Sb        	17.51      	           
338.98521  	 20.32142  	   II      	 Sc        	13.37      	           
197.00513  	 26.11639  	   IIn     	 Sc        	15.34      	           
351.95238  	 14.47417  	   Ia      	 S0/a      	16.13      	B          
178.91121  	 44.38372  	   IIn     	 S         	17.47      	           
356.47658  	 12.06639  	   Ic      	 Sdm       	14.03      	           
205.42950  	 40.87689  	   Ia      	 Scd       	14.87      	B          
182.89313  	 57.74064  	   II      	 Sbc       	13.51      	           
196.31971  	 25.95772  	   IIb     	 Sc        	14.61      	           
355.44933  	 -3.66900  	   Ia      	 Sc pec    	NA         	NA         
 15.16183  	 -7.98036  	   II      	 Sbc       	13.84      	           
218.92963  	  8.29883  	   Ia      	 Sc        	13.98      	           
348.97108  	  5.13061  	   Ia      	 Sbc       	14.50      	B          
244.43038  	 34.96531  	   Ia      	 S         	16.61      	           
215.54771  	 13.92061  	   Ia      	 Sc        	13.43      	           
202.50154  	 13.41197  	           	 Sbc       	13.91      	           
208.36938  	  5.20633  	   Ia      	 S0/a      	13.48      	B          
