RA	DEC	SNtype	Galtype	mag_g	bar
 23.97904  	 -5.49839  	           	 Sc        	16.43      	           
186.35354  	 18.15544  	   Ia      	 S0/a      	NA         	NA         
 41.01863  	  0.78233  	           	 Sb        	15.43      	B          
126.44217  	 19.45411  	   I       	 Sb        	14.52      	B          
192.73504  	 27.83864  	   I       	 E/S0      	14.49      	           
229.39625  	  5.05386  	           	 S0        	15.57      	           
147.16004  	 33.42649  	   II L    	 Sc        	12.53      	           
155.58625  	 21.22289  	           	 Sab       	16.24      	           
189.11367  	 11.44018  	:  Ia      	 S0        	11.66      	           
185.50188  	  4.47042  	   II      	 Sbc       	NA         	B          
242.94821  	 29.57258  	   II pec  	 Sa        	17.25      	           
180.83254  	 16.50903  	           	 Sbc       	14.39      	           
155.57925  	 21.58447  	:          	 Sc        	13.44      	           
 17.50300  	 32.37828  	           	 Sb        	13.73      	           
354.66183  	 27.00942  	           	 E         	15.00      	           
 21.67250  	  2.02553  	           	 Sab       	13.23      	           
 17.50613  	 32.91531  	           	 Sbc       	15.84      	           
155.25817  	 21.71497  	           	 E         	15.47      	           
144.74650  	 33.45269  	           	 S         	18.47      	           
178.23730  	 44.14961  	   II L    	 Sc        	10.76      	           
196.64817  	 27.87494  	   Ia      	 Sb        	15.42      	           
230.68879  	 29.76894  	   I       	 Sc        	14.85      	           
241.27079  	 17.58183  	           	 Sc        	17.34      	           
168.77304  	 25.89214  	   Ia      	 E         	14.55      	           
124.36888  	 21.67422  	           	 Scd       	12.58      	B          
232.02750  	 29.01006  	           	 Sb        	15.84      	B          
195.71821  	 27.51956  	   I       	 S         	17.46      	           
 41.62750  	 -0.24456  	           	 Scd       	12.53      	           
 40.92161  	  1.39764  	   Ic      	 Scd       	NA         	B          
230.29725  	 26.33233  	           	 Sb        	15.98      	           
 51.13144  	 40.02214  	           	 E/S0      	16.09      	           
231.75004  	 26.45044  	   I       	 Sdm       	16.26      	           
227.88092  	  5.24411  	   I       	 Sb        	15.85      	           
194.44892  	 27.88494  	   I       	 S0/a      	15.17      	           
182.58194  	 26.42322  	   Ia      	 Sb        	13.54      	B          
 21.60517  	 -1.64167  	   I       	 Sb        	14.04      	B          
230.60775  	 27.82456  	           	 Sb        	16.90      	           
184.45396  	 26.02569  	           	 Sab       	14.73      	B          
230.58875  	  5.39272  	           	 Sb        	15.11      	           
183.19004  	 10.85861  	   Ia      	 Scd       	11.90      	B          
177.65958  	 55.35042  	   Ia      	 Sc        	13.02      	           
170.91542  	 53.83692  	   I       	 Sa pec    	12.49      	           
194.49046  	 28.05956  	   I       	 Sm        	15.65      	           
 21.58067  	 34.70133  	   II      	 Sbc       	12.68      	B          
228.81688  	 55.51475  	   I       	 Sbc       	12.18      	B          
 41.50883  	 -7.58069  	   Ia      	 Sc        	10.92      	           
241.66817  	 17.19244  	           	 Sbc       	15.27      	B          
 20.90858  	  1.56211  	           	 Sb        	15.87      	           
 21.10208  	 34.04425  	           	 Sbc       	17.70      	           
148.32550  	 36.08894  	           	 Sd        	14.68      	B          
 38.63058  	 -6.07861  	           	 Sb        	17.07      	B          
 37.75371  	 43.97719  	           	 Sb        	15.71      	           
NA         	NA         	           	 Sa        	15.59      	B          
170.22767  	 53.19511  	   II pec  	 Sc        	NA         	NA         
 49.53969  	 40.34825  	   I       	 S0        	13.73      	           
241.52863  	 17.45967  	   I       	 Sab       	15.41      	B          
179.75111  	 52.69533  	   Ia      	 Sd        	12.90      	B          
185.47103  	  4.47350  	   II      	 Sbc       	NA         	B          
245.90921  	 39.20658  	           	 Sbc       	15.56      	           
337.10025  	 30.28981  	   II      	 Sm        	12.37      	B          
245.77942  	 41.23664  	           	 Sdm       	15.54      	B          
  9.00942  	 -9.89128  	           	 Scd       	14.31      	           
348.70008  	  7.71636  	           	 Sc        	15.78      	           
178.20446  	 44.12919  	   Ic      	 Sc        	10.76      	           
156.80458  	 20.49081  	           	 Sd        	15.79      	B          
227.21042  	 55.46864  	           	NA         	NA         	NA         
186.62799  	  9.02200  	   I       	 S         	NA         	           
175.84358  	 18.54294  	:          	 Im        	16.64      	           
147.52946  	 34.41522  	           	 Sbc       	16.11      	           
242.65825  	 19.05781  	           	 Sc        	15.79      	           
182.97449  	 24.11719  	           	 Sc        	12.49      	           
191.27968  	 -0.46992  	   II P    	 Sc        	11.23      	           
193.06469  	 -1.18067  	   Ia      	 S0/a pec  	NA         	NA         
170.24435  	 53.18567  	   II P    	 Sc        	NA         	NA         
349.76145  	 -8.47119  	           	 Sc        	11.39      	           
149.92383  	 35.39553  	   II P    	 Scd       	13.09      	           
180.58239  	 49.93664  	           	 S0        	16.22      	           
128.05108  	 22.56194  	           	 Sa        	12.70      	           
138.73318  	 46.90028  	   I       	 Sc        	14.10      	           
191.93715  	  4.32547  	   II L    	 Sd        	NA         	B          
247.29333  	 40.98869  	           	 S0/a      	15.02      	           
174.07969  	 20.51953  	           	 S0/a      	14.57      	           
183.44121  	 13.43478  	   II      	 Sc        	12.44      	B          
187.19700  	  6.51033  	           	 Sb        	15.39      	B          
 21.15738  	  1.73494  	   I       	 Sbc       	12.37      	B          
 20.16629  	  3.42789  	           	 Sbc       	15.87      	           
  8.62326  	 30.39758  	           	 Sdm       	16.14      	           
154.93917  	 45.50392  	   Ia      	 Sc        	10.58      	           
169.56130  	 28.26458  	   Ia      	 Sab       	14.23      	           
 17.76837  	 33.83481  	           	 Sc        	15.04      	           
169.05417  	 29.36028  	           	 E/S0      	14.75      	           
NA         	NA         	           	NA         	NA         	NA         
169.58017  	  3.86172  	           	 Sdm       	16.39      	B          
162.10401  	 12.54539  	   Ia      	 Sc        	12.12      	           
178.55449  	 20.03003  	           	 Sdm       	15.61      	B          
241.54846  	 18.33047  	           	 Sc        	16.67      	           
184.72961  	 14.41122  	   II      	 Sc        	10.06      	           
232.04143  	 28.66114  	           	 Sab       	16.12      	B          
 17.77880  	 33.22953  	           	 S0/a      	14.90      	           
 22.41411  	 33.82806  	           	 Sdm       	15.85      	           
 49.95322  	 41.50503  	   I       	 E         	NA         	NA         
194.89498  	 27.95953  	           	 E         	NA         	           
165.02685  	 26.72214  	           	 Sb        	16.68      	B          
134.33709  	  2.91742  	   Ia      	 Sb        	12.32      	           
175.90482  	 19.09350  	           	 S0        	14.44      	           
123.97181  	 20.50189  	   I       	 Sbc       	16.06      	           
194.57082  	 27.13703  	   I       	 S0        	15.45      	           
211.46737  	 53.12564  	           	 S0        	14.94      	           
240.77616  	 17.17231  	           	 Sc        	17.14      	           
350.26006  	 15.22047  	           	 Sd        	15.80      	B          
  6.31666  	 30.03181  	           	 Sdm       	14.96      	B          
  6.15165  	 29.28881  	           	 Sb        	15.04      	           
354.39760  	 26.81439  	           	 Sb        	16.16      	           
 19.72119  	  4.94242  	           	 Sbc       	17.41      	B          
 22.44246  	 -2.70753  	           	 Scd       	15.11      	           
326.20331  	  3.07331  	           	 Sbc       	16.47      	           
246.72116  	 41.24986  	           	 Sd        	14.33      	           
183.31265  	 43.72453  	           	 Sc        	13.49      	           
 23.14225  	 32.31439  	           	 Sb        	16.12      	           
357.73647  	 27.16428  	           	 E         	12.67      	           
167.84001  	 55.66983  	   II P    	 Sc        	10.74      	           
175.32296  	 47.69247  	   Ia      	 Sc        	12.81      	B          
188.50933  	  7.69178  	           	 S0/a      	NA         	NA         
188.45870  	  5.89525  	           	 Sb        	16.06      	           
192.61625  	 25.50353  	   I       	 Sb        	 9.58      	B          
239.44250  	 19.48200  	           	 S         	17.69      	           
 21.64155  	 31.61822  	           	 Sbc       	14.90      	B          
355.19913  	 26.83008  	           	 E/S0      	14.25      	           
 52.46840  	 40.02936  	           	 Scd       	16.51      	           
 22.58608  	 -0.96358  	           	 S         	16.84      	           
NA         	NA         	           	NA         	NA         	NA         
187.47849  	  8.00047  	           	 S0        	 9.20      	           
188.16963  	 14.04319  	   II      	 Sdm       	12.99      	B          
163.27983  	 14.09186  	           	 Sb        	16.49      	B          
159.47020  	 10.76167  	           	 S0/a pec  	14.84      	           
180.99986  	 51.91308  	           	 Sb        	16.98      	           
177.72139  	 53.06803  	           	 Sb        	15.95      	           
210.75346  	 54.24244  	:  II L    	 Sc        	NA         	           
349.41594  	  6.00067  	           	 Sbc       	15.77      	B          
350.05288  	  8.19789  	   Ia      	 E         	11.68      	           
145.83928  	 31.94953  	   I       	 S0/a      	12.30      	B          
162.05018  	 14.05433  	           	 S         	16.76      	           
186.59725  	 27.74747  	           	 Sdm       	16.30      	B          
203.87936  	 13.66672  	           	 Sc        	12.76      	B          
169.57518  	 28.25681  	           	 Sab       	14.23      	           
178.13837  	 49.13333  	           	 Sbc       	15.90      	           
231.30441  	 26.34978  	           	 Sc        	17.43      	           
183.05000  	 13.23778  	   Ia      	 Sb        	14.01      	           
170.20393  	 28.28917  	           	 Scd       	17.58      	           
198.95667  	 41.98750  	:  Ia      	 Sc        	NA         	NA         
181.50308  	 13.82161  	           	 S         	17.09      	           
175.30687  	 47.68608  	   II P    	 Sc        	12.81      	B          
