SNtype	mag_g	bar	Galtype2
CC   	15.46	     	S    
CC   	15.72	     	S    
Ia   	12.23	     	S    
Ia   	14.55	B    	S    
Ia   	14.74	     	S    
CC   	14.00	     	S    
Ia   	17.39	     	S    
CC   	13.60	B    	S    
Ia   	12.49	     	S0   
Ia   	15.47	B    	S    
Ia   	14.52	     	S    
Ia   	14.87	B    	S    
Ia   	15.34	     	S    
CC   	13.28	     	S    
Ia   	12.77	     	S    
Ia   	15.40	     	S    
CC   	14.56	B    	S    
CC   	15.01	     	S    
CC   	15.11	     	S    
Ia   	14.83	B    	S    
CC   	12.22	     	S    
Ia   	14.36	     	E/S0 
CC   	14.99	     	S    
Ia   	15.99	     	S    
CC   	13.37	     	S    
CC   	11.03	     	S    
Ia   	13.89	     	S    
CC   	15.36	B    	S    
Ia   	15.36	B    	S    
Ia   	15.83	     	S    
Ia   	17.22	     	S0   
CC   	14.34	     	S    
Ia   	13.96	     	S0   
Ia   	13.92	     	E/S0 
CC   	18.59	     	S    
Ia   	14.50	     	S    
Ia   	15.35	     	S    
CC   	15.60	     	S    
CC   	11.03	     	S    
Ia   	14.74	B    	S    
Ia   	15.28	     	S    
CC   	13.62	     	S    
CC   	13.59	     	S    
Ia   	14.35	     	E    
CC   	12.11	     	S    
Ia   	13.82	     	S    
CC   	13.96	B    	S    
CC   	14.90	B    	S    
CC   	16.40	     	S    
Ia   	14.00	     	E    
Ia   	14.56	B    	S    
Ia   	13.53	     	E    
Ia   	13.83	     	E    
CC   	14.75	B    	S    
CC   	14.96	     	S    
CC   	15.51	     	S    
Ia   	15.80	     	E    
CC   	13.23	     	S    
CC   	15.24	     	S    
Ia   	14.61	B    	S    
CC   	14.34	     	S    
CC   	19.36	     	S    
CC   	13.92	     	S    
Ia   	13.92	     	S    
Ia   	15.52	     	S0   
CC   	14.24	     	S    
Ia   	15.56	     	S    
Ia   	16.60	     	S    
CC   	13.86	     	S    
Ia   	14.08	     	S    
Ia   	13.36	B    	S    
Ia   	13.74	     	S0   
CC   	11.95	     	S    
CC   	11.87	     	S    
CC   	15.35	     	S    
CC   	14.94	     	S    
Ia   	14.97	     	S0   
CC   	14.11	     	S    
Ia   	16.47	     	S    
Ia   	15.81	     	S    
CC   	14.45	     	S    
CC   	13.55	B    	S    
Ia   	13.84	     	S0   
Ia   	14.70	B    	S0   
Ia   	12.91	B    	S    
CC   	14.20	     	S    
Ia   	13.82	     	E    
Ia   	14.25	B    	S    
Ia   	14.79	B    	S    
CC   	12.27	     	S    
CC   	14.07	     	S    
Ia   	15.25	     	S    
CC   	13.75	B    	S    
CC   	15.49	     	S    
Ia   	14.73	     	S    
CC   	12.66	     	S    
CC   	11.22	     	S    
CC   	13.30	     	S    
Ia   	18.00	     	S    
Ia   	14.98	     	S    
Ia   	17.92	     	S    
CC   	13.70	     	S    
Ia   	18.34	     	S    
Ia   	16.14	     	S    
Ia   	17.44	     	S    
Ia   	15.72	     	S    
Ia   	14.83	     	S    
Ia   	15.55	     	S    
CC   	14.20	B    	S    
CC   	14.03	     	S    
CC   	11.94	     	S    
CC   	14.48	     	S    
Ia   	13.15	     	S0   
CC   	12.13	     	S    
Ia   	13.15	B    	S    
CC   	13.93	     	S    
Ia   	15.17	     	S    
CC   	14.94	     	S    
Ia   	14.10	B    	S    
CC   	15.98	     	S    
CC   	13.73	     	S    
CC   	16.25	     	S    
CC   	12.88	     	S    
CC   	13.60	     	S    
CC   	14.17	B    	S    
Ia   	14.50	B    	S    
CC   	11.92	     	S    
Ia   	12.10	     	E/S0 
CC   	12.83	     	S    
Ia   	14.85	     	S    
Ia   	14.68	B    	S    
Ia   	12.73	     	S    
CC   	11.81	     	S    
CC   	14.44	     	S    
Ia   	15.79	     	S    
CC   	11.08	     	S    
CC   	14.20	     	S    
Ia   	14.65	     	S0   
Ia   	17.98	     	S    
CC   	13.37	     	S    
CC   	14.94	B    	S    
CC   	18.67	     	S    
Ia   	13.73	     	S0   
Ia   	19.19	     	S    
CC   	17.07	B    	S    
Ia   	16.79	     	S    
CC   	17.28	     	S    
CC   	17.89	     	S    
CC   	14.14	B    	S    
CC   	18.74	     	S    
CC   	17.27	     	S    
Ia   	17.97	     	S    
Ia   	18.61	     	S    
Ia   	15.14	B    	S    
Ia   	14.94	B    	S    
Ia   	13.47	     	S    
CC   	14.85	     	S    
CC   	17.20	     	S    
Ia   	 9.52	     	E    
Ia   	16.61	     	S    
CC   	15.49	     	S    
Ia   	12.80	     	S    
CC   	14.81	     	S    
CC   	13.66	     	S    
CC   	12.83	B    	S    
Ia   	16.51	     	S    
CC   	15.68	     	S    
Ia   	15.84	     	S0   
Ia   	14.55	     	S    
CC   	13.51	     	S    
CC   	13.46	B    	S    
CC   	14.67	B    	S    
CC   	13.69	     	S    
Ia   	13.35	B    	S    
Ia   	15.73	     	S    
CC   	13.25	B    	S    
Ia   	14.87	     	S    
CC   	14.35	B    	S    
CC   	14.39	     	S    
CC   	14.79	B    	S    
CC   	14.33	     	S    
Ia   	13.36	     	S0   
Ia   	16.94	     	S0   
CC   	17.15	     	S    
CC   	15.04	     	S    
CC   	14.63	B    	S    
Ia   	17.27	     	S    
CC   	14.02	B    	S    
CC   	16.43	B    	S    
Ia   	18.74	B    	S    
CC   	13.31	B    	S    
CC   	14.48	B    	S    
Ia   	16.13	     	S    
CC   	14.19	     	S    
CC   	15.23	     	S    
Ia   	14.27	     	S0   
CC   	13.38	B    	S    
CC   	12.78	B    	S    
CC   	18.05	     	Im   
CC   	14.31	     	S    
CC   	12.25	     	S0   
CC   	14.78	     	S    
CC   	16.87	     	Im   
Ia   	18.13	     	S    
Ia   	20.39	     	S    
CC   	13.12	     	S    
CC   	13.83	     	S    
CC   	13.83	     	S    
Ia   	14.74	     	S    
CC   	14.86	     	S    
Ia   	18.11	     	S    
Ia   	14.23	     	S0   
Ia   	18.74	     	S    
Ia   	18.67	     	S    
Ia   	19.10	     	S    
Ia   	19.10	     	S    
Ia   	18.67	     	S    
Ia   	18.58	     	S    
Ia   	14.09	     	S    
Ia   	19.25	     	S    
Ia   	17.52	B    	S    
Ia   	19.05	     	S    
CC   	18.96	     	S    
CC   	14.16	B    	S    
CC   	14.30	     	S    
CC   	13.28	     	S0   
Ia   	15.85	     	S    
CC   	13.61	B    	S    
Ia   	16.12	     	S    
CC   	15.01	     	S    
Ia   	17.61	B    	S    
CC   	11.90	B    	S    
Ia   	17.80	     	S    
Ia   	18.74	     	S    
CC   	12.84	     	S    
Ia   	17.48	     	S    
Ia   	17.51	     	S    
CC   	14.11	     	S    
Ia   	17.47	     	S    
Ia   	17.28	     	S0   
Ia   	19.90	     	S    
CC   	15.28	     	S    
CC   	17.22	     	S    
Ia   	12.89	     	S    
CC   	17.05	     	S    
CC   	12.54	B    	S    
Ia   	12.46	     	E/S0 
CC   	13.75	B    	S    
CC   	12.00	     	S    
Ia   	14.87	     	S    
Ia   	19.30	     	S    
Ia   	17.20	     	S    
Ia   	16.81	     	S    
Ia   	19.63	     	S    
Ia   	17.43	     	S    
Ia   	19.30	     	S    
CC   	19.72	     	S    
CC   	18.70	     	S    
Ia   	18.64	     	S    
Ia   	18.39	     	S    
Ia   	14.44	     	S    
Ia   	14.30	B    	S    
Ia   	14.58	     	S    
CC   	13.07	     	S    
Ia   	13.94	B    	S0   
CC   	14.74	B    	S    
CC   	13.81	     	S    
CC   	18.30	     	S    
Ia   	14.20	     	S    
CC   	18.58	     	S    
CC   	14.74	B    	S    
CC   	13.48	     	S    
Ia   	14.07	B    	S    
CC   	14.82	     	S    
Ia   	12.72	     	S    
CC   	15.53	     	S    
CC   	13.89	     	S    
Ia   	13.03	B    	S    
CC   	17.02	B    	S    
Ia   	18.39	     	S    
Ia   	16.56	     	S0   
CC   	15.46	B    	S    
Ia   	15.60	     	S    
CC   	18.77	     	Im   
Ia   	13.53	     	S    
Ia   	14.62	     	S    
Ia   	13.81	     	S0   
Ia   	13.95	     	E/S0 
CC   	14.36	     	S    
CC   	17.09	     	S    
Ia   	14.08	     	E/S0 
CC   	14.83	     	S    
Ia   	16.85	     	S    
Ia   	13.69	     	E/S0 
Ia   	13.91	     	S    
Ia   	14.23	     	S0   
Ia   	17.58	     	S    
Ia   	17.11	     	S0   
CC   	14.07	     	S    
CC   	13.16	B    	S    
Ia   	15.57	B    	S0   
CC   	13.49	     	S    
Ia   	15.53	     	S    
Ia   	14.52	B    	S    
Ia   	16.15	     	S0   
Ia   	12.39	B    	S    
Ia   	17.29	     	S    
CC   	14.81	     	S    
Ia   	14.34	B    	S    
Ia   	14.95	     	S    
CC   	14.63	B    	S    
Ia   	14.24	     	S0   
Ia   	15.94	     	S0   
CC   	17.51	     	S    
CC   	13.37	     	S    
Ia   	16.13	B    	S0   
CC   	14.03	     	S    
Ia   	14.87	B    	S    
CC   	13.51	     	S    
CC   	13.84	     	S    
