SNtype	mag_g	bar	Galtype2
Ia   	13.89	     	S    
Ic   	14.37	     	S    
Ia   	17.70	     	S    
Ia   	18.88	     	S    
Ia   	17.05	     	S    
IIn  	15.78	     	S    
Ia   	14.35	B    	S    
IIn  	12.90	     	S    
II   	15.49	     	S    
II   	15.37	     	S    
II   	15.02	B    	S    
Ia   	13.93	B    	S    
II   	14.23	     	S    
Ia   	17.69	     	S    
Ia   	15.34	     	S    
Ia   	14.17	     	S    
II   	12.49	     	S    
IIn  	18.59	     	S    
Ia   	14.19	     	E/S0 
II   	14.25	B    	S    
Ic   	13.92	     	S    
II   	15.07	     	S    
II   	14.33	B    	S    
II   	13.62	     	S    
Ia   	18.42	     	S    
Ia   	17.07	     	S    
Ia   	18.27	     	S    
Ia   	18.21	     	S    
Ia   	17.86	B    	S    
Ia   	18.30	     	S    
Ia   	17.90	     	S    
Ia   	16.41	     	E/S0 
Ia   	17.60	B    	S    
Ia   	18.19	     	S    
Ia   	13.31	     	S    
Ia   	13.60	B    	S    
II   	13.45	     	S    
II   	12.52	     	S    
II   	15.21	B    	S    
Ia   	13.98	     	S    
II   	14.91	     	S    
II   	14.66	     	S    
Ia   	17.26	     	S    
II   	13.10	     	S    
II   	14.89	B    	S    
Ia   	14.67	B    	S    
II   	13.45	     	S    
Ia   	15.97	     	S    
Ia   	14.33	B    	S    
Ia   	15.00	     	S    
II   	13.65	     	S    
Ia   	15.21	     	S    
Ia   	14.67	     	S    
Ia   	11.30	     	S    
Ia   	14.68	B    	S    
IIn  	14.43	B    	S    
II   	14.57	     	S    
Ia   	14.72	     	S0   
II   	13.62	B    	S    
II   	13.72	B    	S    
IIn  	14.83	B    	S    
Ia   	17.69	     	S    
Ia   	13.34	B    	S    
II   	12.89	B    	S    
Ic   	14.41	     	S    
II   	16.68	     	S    
Ia   	16.12	B    	S    
Ia   	14.24	B    	S    
Ic   	16.62	     	S    
Ib/c 	13.09	     	S    
Ia   	11.30	     	S    
Ia   	15.10	B    	S    
Ia   	13.90	B    	S    
Ia   	14.45	B    	S    
Ib   	17.28	     	S    
Ia   	14.42	     	S0   
Ia   	13.78	     	S    
