RA	DEC	SNtype	mag_g	bar	redshift	Galtype2
 70.93425	 -5.31494	IIn      	13.31    	B        	 0.01624 	S        
166.73092	  7.17211	CC       	13.63    	         	 0.00472 	S        
200.24938	  3.59894	CC       	18.61    	         	 0.07565 	S        
201.82642	 32.03131	Ia       	13.63    	B        	 0.02438 	S        
211.80971	 -2.72575	Ia       	16.07    	         	 0.05595 	S        
208.38583	 -1.19172	Ia       	15.32    	         	 0.02373 	S        
336.80171	 -9.49567	Ia       	17.16    	         	 0.05640 	S        
 41.61154	 -0.49878	CC       	11.35    	B        	 0.00508 	S        
 17.74833	 33.14464	Ia       	12.09    	         	 0.01777 	E        
 20.90979	 32.63142	CC       	14.84    	B        	 0.01584 	S        
 77.69625	 -3.00694	CC       	14.70    	         	 0.03300 	S        
214.60588	 36.49408	Ia       	11.49    	         	 0.01084 	S0       
230.28479	 27.92689	Ia       	16.36    	B        	 0.06052 	S        
186.04683	  1.40408	Ia       	15.98    	         	 0.02557 	S0       
223.49921	  3.52944	IIn      	11.69    	         	 0.00558 	S        
 41.50346	 -7.57231	CC       	10.92    	         	 0.00470 	S        
215.59467	 -0.38994	CC       	11.81    	B        	 0.00552 	S        
 22.96833	 -2.21750	Ia       	15.25    	         	 0.05998 	S        
185.98583	 48.77833	CC       	13.14    	         	 0.01375 	S        
 33.06413	  1.46358	Ia       	20.11    	         	 0.25000 	S        
 13.21825	 -0.07531	CC       	16.90    	B        	 0.11570 	S        
206.74158	 60.97025	Ia       	12.05    	         	 0.00672 	S0       
  9.07488	 11.39458	Ia       	15.74    	B        	 0.03600 	S        
 93.95408	 64.42911	Ia       	14.99    	         	 0.01354 	S        
 27.09525	 11.52086	Ia       	12.90    	         	 0.01729 	S        
102.99125	 16.29561	Ia       	13.96    	         	 0.00896 	E        
 25.93546	  4.22194	CC       	13.57    	         	 0.01809 	S        
207.70250	 49.31864	Ia       	15.44    	         	 0.02700 	S        
217.86854	 49.96217	CC       	14.27    	         	 0.00694 	S        
119.33638	 11.20658	CC       	15.16    	B        	 0.04640 	S        
241.50000	 18.19667	Ia       	15.20    	         	 0.03719 	S        
208.21921	  2.80839	Ia       	13.06    	B        	 0.01545 	S        
170.38013	  2.81122	Ia       	13.81    	B        	 0.02383 	S        
 72.97333	 -4.96000	CC       	14.29    	B        	 0.01216 	S        
147.75167	 20.07333	IIn      	17.51    	         	 0.01167 	S        
124.75917	 21.18381	CC       	13.75    	         	 0.01377 	S        
184.96942	  7.73047	CC       	16.65    	         	 0.01256 	Im       
170.60608	  1.18931	Ia       	17.29    	         	 0.02982 	S        
201.00492	  9.70636	CC       	13.18    	         	 0.02324 	S        
247.46192	 39.75564	IIn      	14.36    	B        	 0.03185 	S        
228.41575	  2.89569	IIn      	16.15    	B        	 0.03690 	S        
151.40596	 80.29100	CC       	13.33    	B        	 0.00508 	S        
329.08554	 73.24706	CC       	13.38    	B        	 0.00492 	S        
352.11838	 22.42306	CC       	11.96    	         	 0.01163 	S        
355.05921	 26.20328	Ia       	18.70    	         	 0.03400 	S        
336.04796	 -3.48625	CC       	14.12    	B        	 0.00945 	S        
345.01221	 15.98081	Ia       	12.00    	         	 0.00731 	S        
117.15708	 52.22300	Ia       	15.99    	         	 0.06416 	E/S0     
 43.25063	 -3.61058	CC       	17.89    	         	 0.08500 	S        
197.90304	 22.92483	IIn      	12.21    	         	 0.00869 	S        
178.74992	 58.49067	CC       	12.14    	B        	 0.01063 	S        
 25.93533	  4.22142	CC       	13.57    	         	 0.01809 	S        
192.05950	 -3.33292	CC       	11.25    	B        	 0.00376 	S        
191.38083	 54.73806	Ia       	14.71    	B        	 0.01595 	S        
186.38604	  7.64972	Ia       	15.21    	B        	 0.03787 	S        
179.10779	 55.12867	Ia       	11.89    	         	 0.00371 	S        
143.74525	 21.71597	CC       	12.40    	         	 0.01239 	S        
116.51205	 18.71672	Ia       	15.33    	         	 0.04619 	S0       
140.37704	 64.24039	CC       	15.13    	         	 0.00477 	Im       
110.89429	 41.43450	CC       	14.17    	B        	 0.02762 	S        
202.33046	 17.04511	CC       	12.52    	         	 0.01344 	S        
161.26733	 39.42014	Ia       	16.50    	         	 0.02494 	S        
184.57554	 20.74057	Ia       	17.87    	         	 0.11954 	S        
190.25467	 -6.66339	Ia       	14.75    	         	 0.02526 	S0       
206.05404	  3.01119	Ia       	18.58    	         	 0.08000 	S        
173.97667	 70.53617	Ia       	12.43    	         	 0.00899 	S        
247.66342	 41.21511	Ia       	15.49    	         	 0.03249 	S        
237.79863	 21.94333	IIn      	14.65    	         	 0.02597 	S        
348.66796	  4.53725	Ia       	12.46    	         	 0.00894 	S        
 30.27883	 -6.81800	Ia       	12.53    	         	 0.01360 	S0       
  3.63400	 -0.73636	Ia       	14.07    	         	 0.01316 	S        
 15.36283	 -7.61019	CC       	12.96    	         	 0.00358 	S        
 15.86196	 32.23678	Ia       	13.71    	         	 0.01768 	S        
339.87621	  8.60572	Ia       	15.44    	         	 0.02476 	S        
349.99029	 16.05542	Ia       	17.78    	         	 0.11000 	S        
322.50279	 26.72261	CC       	13.12    	B        	 0.01615 	S        
 44.80254	  3.49417	Ia       	16.27    	         	 0.10700 	E        
168.65429	 30.31436	CC       	14.49    	         	 0.00668 	S        
176.52546	 47.48217	IIn      	11.53    	         	 0.00302 	S        
114.23721	 35.24333	CC       	12.51    	         	 0.01267 	S        
226.98033	 54.76111	CC       	13.09    	         	 0.01046 	S        
156.25267	 53.87694	CC       	16.94    	         	 0.03214 	S        
126.04533	 12.11628	Ia       	15.93    	B        	 0.03213 	S        
180.29404	 14.10308	CC       	14.07    	B        	 0.00513 	S        
127.44775	  4.62736	CC       	17.22    	         	 0.03902 	S        
155.79708	 17.98500	Ia       	17.37    	         	 0.02751 	S0       
221.18275	 58.92842	CC       	17.98    	         	 0.04379 	S        
154.83071	 -2.82750	Ia       	18.52    	         	 0.09310 	S        
125.91083	 18.30567	Ia       	14.37    	         	 0.01929 	S        
181.03042	 62.50033	CC       	13.62    	B        	 0.00426 	S        
163.69571	 61.28889	Ia       	13.83    	B        	 0.01720 	S        
257.90738	 72.42097	Ia       	16.92    	         	 0.04990 	S        
174.92708	 31.90808	CC       	12.91    	B        	 0.00902 	S        
260.66971	 60.00358	Ia       	15.16    	B        	 0.01861 	S        
285.42246	 40.74778	CC       	13.50    	         	 0.01515 	S        
246.45171	 40.34233	Ia       	14.78    	         	 0.02904 	S        
240.67513	 37.35956	Ia       	13.71    	         	 0.03126 	S        
170.42871	 20.15669	CC       	11.54    	         	 0.01417 	S        
203.37379	 33.05636	Ia       	14.02    	B        	 0.02446 	S        
187.98338	 14.42647	Ia       	 9.96    	         	 0.00761 	S        
227.82992	 61.11983	Ia       	14.73    	         	 0.04512 	S        
226.69275	 12.85264	CC       	15.55    	B        	 0.02213 	S        
  5.00608	 -6.33433	Ia       	14.19    	         	 0.01243 	S        
263.84567	 60.81369	Ia       	12.39    	         	 0.01228 	E        
227.23550	 52.44808	CC       	15.05    	B        	 0.03791 	S        
227.86838	 13.48492	Ia       	13.74    	         	 0.02193 	E        
 32.77529	  3.85192	CC       	13.49    	         	 0.01086 	S        
 29.97858	 23.63964	CC       	13.28    	         	 0.01641 	S        
 22.86217	 14.28492	Ia       	14.10    	         	 0.01496 	S        
343.37446	 31.64525	Ia       	14.41    	         	 0.02193 	S        
 25.93938	  4.22386	IIn      	13.57    	         	 0.01809 	S        
 14.69250	 12.74583	Ia       	14.98    	B        	 0.03883 	S        
 20.73908	 33.46611	Ia       	13.76    	B        	 0.01372 	S        
 19.84458	 -3.60550	CC       	15.78    	         	 0.04444 	S        
